"GroupName","MemberName","MemberType","MemberSAMAccount","MemberDN"
"Denied RODC Password Replication Group","Group Policy Creator Owners","group","Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=Corp,DC=local"
"Denied RODC Password Replication Group","krbtgt","user","krbtgt","CN=krbtgt,CN=Users,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Read-only Domain Controllers","group","Read-only Domain Controllers","CN=Read-only Domain Controllers,CN=Users,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Schema Admins","group","Schema Admins","CN=Schema Admins,CN=Users,DC=Corp,DC=local"
"Domain Admins","Administrator","user","Administrator","CN=Administrator,CN=Users,DC=Corp,DC=local"
"Domain Admins","iam.admin","user","iam.admin","CN=iam.admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Domain Computers","CLIENT01","computer","CLIENT01$","CN=CLIENT01,OU=Workstations,DC=Corp,DC=local"
"Domain Computers","CLIENT02","computer","CLIENT02$","CN=CLIENT02,OU=Workstations,DC=Corp,DC=local"
"Domain Computers","FILE01","computer","FILE01$","CN=FILE01,OU=File Servers,OU=Servers,DC=Corp,DC=local"
"Domain Computers","HR01","computer","HR01$","CN=HR01,CN=Computers,DC=Corp,DC=local"
"Domain Controllers","DC01","computer","DC01$","CN=DC01,OU=Domain Controllers,DC=Corp,DC=local"
"Domain Guests","Guest","user","Guest","CN=Guest,CN=Users,DC=Corp,DC=local"
"Domain Users","Administrator","user","Administrator","CN=Administrator,CN=Users,DC=Corp,DC=local"
"Domain Users","Alyssa Jensen","user","alyssa.jensen","CN=Alyssa Jensen,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Domain Users","Amy Wilcox","user","amy.wilcox","CN=Amy Wilcox,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Domain Users","Andrea Forsythe","user","andrea.forsythe","CN=Andrea Forsythe,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Domain Users","Anthony Edwards","user","anthony.edwards","CN=Anthony Edwards,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Domain Users","Benjamin Washington","user","benjamin.washington","CN=Benjamin Washington,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Domain Users","Bill Smith","user","bill.smith","CN=Bill Smith,OU=IT,OU=Departments,DC=Corp,DC=local"
"Domain Users","Brown Steward","user","brown.steward","CN=Brown Steward,OU=Security,OU=Departments,DC=Corp,DC=local"
"Domain Users","David Admire","user","davidadmire","CN=David Admire,OU=Security,OU=Departments,DC=Corp,DC=local"
"Domain Users","diabled.user","user","diabled","CN=diabled.user,OU=Disabled Users,DC=Corp,DC=local"
"Domain Users","Elie Admin","user","elie.admin","CN=Elie Admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Domain Users","Elie Nzweme","user","Elie Nzweme","CN=Elie Nzweme,CN=Users,DC=Corp,DC=local"
"Domain Users","Eric Lee","user","eric.lee","CN=Eric Lee,OU=IT,OU=Departments,DC=Corp,DC=local"
"Domain Users","Ethan Marwaloud","user","ethanmarwaloud","CN=Ethan Marwaloud,OU=Security,OU=Departments,DC=Corp,DC=local"
"Domain Users","Happy Sunday","user","happy.sunday","CN=Happy Sunday,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Domain Users","Heather Summer","user","heather.summer","CN=Heather Summer,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Domain Users","Henry Woodward","user","henry.woodward","CN=Henry Woodward,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Domain Users","iam.admin","user","iam.admin","CN=iam.admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Domain Users","James Tritt","user","james.tritt","CN=James Tritt,OU=IT,OU=Departments,DC=Corp,DC=local"
"Domain Users","Janice Smith","user","janice.smith","CN=Janice Smith,OU=HR,OU=Departments,DC=Corp,DC=local"
"Domain Users","Jennifer Sorensen","user","jennifer.sorensen","CN=Jennifer Sorensen,OU=HR,OU=Departments,DC=Corp,DC=local"
"Domain Users","Jimmy Button","user","jimmy.button","CN=Jimmy Button,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Domain Users","John Latouche","user","johnlatouche","CN=John Latouche,OU=Security,OU=Departments,DC=Corp,DC=local"
"Domain Users","John Williams","user","john.williams","CN=John Williams,OU=IT,OU=Departments,DC=Corp,DC=local"
"Domain Users","Joseph Johnson","user","joseph.jonson","CN=Joseph Johnson,OU=Contractors,DC=Corp,DC=local"
"Domain Users","Julie Lloyd","user","julie.lloyd","CN=Julie Lloyd,OU=HR,OU=Departments,DC=Corp,DC=local"
"Domain Users","Kathy Arnold","user","kathy.arnold","CN=Kathy Arnold,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Domain Users","Katie Clark","user","katie.clark","CN=Katie Clark,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Domain Users","Kevin Jones","user","kevin.jones","CN=Kevin Jones,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Domain Users","krbtgt","user","krbtgt","CN=krbtgt,CN=Users,DC=Corp,DC=local"
"Domain Users","Lee McCrae","user","lee.mccrae","CN=Lee McCrae,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Domain Users","Michael Smith","user","michael.smith","CN=Michael Smith,OU=HR,OU=Departments,DC=Corp,DC=local"
"Domain Users","Oxana Wetherby","user","oxana.wetherby","CN=Oxana Wetherby,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Domain Users","Sarah Johnson","user","sarah.johnson","CN=Sarah Johnson,OU=HR,OU=Departments,DC=Corp,DC=local"
"Domain Users","Security Admin","user","admin.security","CN=Security Admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Domain Users","Shanon Tate","user","shanon.tate","CN=Shanon Tate,OU=Contractors,DC=Corp,DC=local"
"Domain Users","svc_backup","user","svc_backup","CN=svc_backup,OU=Service Accounts,DC=Corp,DC=local"
"Domain Users","svc_splunk","user","svc_splunk","CN=svc_splunk,OU=Service Accounts,DC=Corp,DC=local"
"Domain Users","svc_sql","user","svc_sql","CN=svc_sql,OU=Service Accounts,DC=Corp,DC=local"
"Domain Users","Ted Willams","user","ted.williams","CN=Ted Willams,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Domain Users","Test user","user","testuser","CN=Test user,CN=Users,DC=Corp,DC=local"
"Domain Users","Trent Allen","user","trent.allen","CN=Trent Allen,OU=Customer Relations,OU=Departments,DC=Corp,DC=local"
"Domain Users","Trevor Anderson","user","trevor.anderson","CN=Trevor Anderson,OU=Customer Relations,OU=Departments,DC=Corp,DC=local"
"Domain Users","Trisha Hyatt","user","trisha.hyatt","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local"
"Domain Users","William Trent","user","william.trent","CN=William Trent,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Engineering Group","Happy Sunday","user","happy.sunday","CN=Happy Sunday,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Engineering Group","Heather Summer","user","heather.summer","CN=Heather Summer,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Engineering Group","Kevin Jones","user","kevin.jones","CN=Kevin Jones,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Engineering Group","Lee McCrae","user","lee.mccrae","CN=Lee McCrae,OU=Engineering,OU=Departments,DC=Corp,DC=local"
"Enterprise Admins","Administrator","user","Administrator","CN=Administrator,CN=Users,DC=Corp,DC=local"
"Executives Group","Benjamin Washington","user","benjamin.washington","CN=Benjamin Washington,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Executives Group","Kathy Arnold","user","kathy.arnold","CN=Kathy Arnold,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Executives Group","Ted Willams","user","ted.williams","CN=Ted Willams,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Executives Group","William Trent","user","william.trent","CN=William Trent,OU=Executives,OU=Departments,DC=Corp,DC=local"
"Finance Group","Alyssa Jensen","user","alyssa.jensen","CN=Alyssa Jensen,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Finance Group","Amy Wilcox","user","amy.wilcox","CN=Amy Wilcox,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Finance Group","Andrea Forsythe","user","andrea.forsythe","CN=Andrea Forsythe,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Finance Group","Anthony Edwards","user","anthony.edwards","CN=Anthony Edwards,OU=Finance,OU=Departments,DC=Corp,DC=local"
"Group Policy Creator Owners","Administrator","user","Administrator","CN=Administrator,CN=Users,DC=Corp,DC=local"
"Guests","Domain Guests","group","Domain Guests","CN=Domain Guests,CN=Users,DC=Corp,DC=local"
"Guests","Guest","user","Guest","CN=Guest,CN=Users,DC=Corp,DC=local"
"HR Group","Janice Smith","user","janice.smith","CN=Janice Smith,OU=HR,OU=Departments,DC=Corp,DC=local"
"HR Group","Jennifer Sorensen","user","jennifer.sorensen","CN=Jennifer Sorensen,OU=HR,OU=Departments,DC=Corp,DC=local"
"HR Group","Julie Lloyd","user","julie.lloyd","CN=Julie Lloyd,OU=HR,OU=Departments,DC=Corp,DC=local"
"HR Group","Michael Smith","user","michael.smith","CN=Michael Smith,OU=HR,OU=Departments,DC=Corp,DC=local"
"IAM Admins","Elie Admin","user","elie.admin","CN=Elie Admin,OU=Privileged Accounts,DC=Corp,DC=local"
"IIS_IUSRS","IUSR",,"IUSR",
"IT Group","Bill Smith","user","bill.smith","CN=Bill Smith,OU=IT,OU=Departments,DC=Corp,DC=local"
"IT Group","Eric Lee","user","eric.lee","CN=Eric Lee,OU=IT,OU=Departments,DC=Corp,DC=local"
"IT Group","James Tritt","user","james.tritt","CN=James Tritt,OU=IT,OU=Departments,DC=Corp,DC=local"
"IT Group","John Williams","user","john.williams","CN=John Williams,OU=IT,OU=Departments,DC=Corp,DC=local"
"Pre-Windows 2000 Compatible Access","Authenticated Users",,"Authenticated Users",
"Privileged Security Admins","Security Admin","user","admin.security","CN=Security Admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Schema Admins","Administrator","user","Administrator","CN=Administrator,CN=Users,DC=Corp,DC=local"
"Security Group","Brown Steward","user","brown.steward","CN=Brown Steward,OU=Security,OU=Departments,DC=Corp,DC=local"
"Security Group","David Admire","user","davidadmire","CN=David Admire,OU=Security,OU=Departments,DC=Corp,DC=local"
"Security Group","Elie Admin","user","elie.admin","CN=Elie Admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Security Group","Ethan Marwaloud","user","ethanmarwaloud","CN=Ethan Marwaloud,OU=Security,OU=Departments,DC=Corp,DC=local"
"Security Group","John Latouche","user","johnlatouche","CN=John Latouche,OU=Security,OU=Departments,DC=Corp,DC=local"
"Security Group","Security Admin","user","admin.security","CN=Security Admin,OU=Privileged Accounts,DC=Corp,DC=local"
"Users","Authenticated Users",,"Authenticated Users",
"Users","Domain Users","group","Domain Users","CN=Domain Users,CN=Users,DC=Corp,DC=local"
"Users","Elie Nzweme","user","Elie Nzweme","CN=Elie Nzweme,CN=Users,DC=Corp,DC=local"
"Users","INTERACTIVE",,"INTERACTIVE",
"Windows Authorization Access Group","ENTERPRISE DOMAIN CONTROLLERS",,"ENTERPRISE DOMAIN CONTROLLERS",
