"Name","GivenName","Surname","SamAccountName","UserPrincipalName","EmployeeID","Department","Title","Company","Enabled","DistinguishedName","Manager","Description"
"Elie Admin","Elie","Admin","elie.admin","elie.admin@Corp.local",,,,,"True","CN=Elie Admin,OU=Privileged Accounts,DC=Corp,DC=local",,
"Elie Nzweme",,,"Elie Nzweme",,,,,,"True","CN=Elie Nzweme,CN=Users,DC=Corp,DC=local",,
"Eric Lee","Eric","Lee","eric.lee","eric.lee@Corp.local",,"IT","HelpDesk Technician","Corp","True","CN=Eric Lee,OU=IT,OU=Departments,DC=Corp,DC=local","CN=Bill Smith,OU=IT,OU=Departments,DC=Corp,DC=local",
"Ethan Marwaloud","Ethan","Marwaloud","ethanmarwaloud","ethanmarwaloud@Corp.local",,"Security","Security Engineer","Corp","True","CN=Ethan Marwaloud,OU=Security,OU=Departments,DC=Corp,DC=local","CN=Brown Steward,OU=Security,OU=Departments,DC=Corp,DC=local",
"Guest",,,"Guest",,,,,,"False","CN=Guest,CN=Users,DC=Corp,DC=local",,"Built-in account for guest access to the computer/domain"
"Happy Sunday","Happy","Sunday","happy.sunday","happy.sunday@Corp.local",,"Engineering","Data Engineer","Corp","True","CN=Happy Sunday,OU=Engineering,OU=Departments,DC=Corp,DC=local","CN=Lee McCrae,OU=Engineering,OU=Departments,DC=Corp,DC=local",
"Heather Summer","Heather","Summer","heather.summer","heather.summer@Corp.local",,"Engineering","Data Analyst","Corp","True","CN=Heather Summer,OU=Engineering,OU=Departments,DC=Corp,DC=local","CN=Lee McCrae,OU=Engineering,OU=Departments,DC=Corp,DC=local",
"Henry Woodward","Henry","Woodward","henry.woodward","henry.woodward@Corp.local",,"Accounting","Manager of Accounting","Corp","True","CN=Henry Woodward,OU=Accounting,OU=Departments,DC=Corp,DC=local","CN=Benjamin Washington,OU=Executives,OU=Departments,DC=Corp,DC=local",
"iam.admin","iam.admin",,"iam.admin","iam@Corp.local",,,,,"True","CN=iam.admin,OU=Privileged Accounts,DC=Corp,DC=local",,
"James Tritt","James","Tritt","james.tritt","james.tritt@Corp.local",,"IT","IT Technical Support Specialist","Corp","True","CN=James Tritt,OU=IT,OU=Departments,DC=Corp,DC=local","CN=Bill Smith,OU=IT,OU=Departments,DC=Corp,DC=local",
"Janice Smith","Janice","Smith","janice.smith","janice.smith@Corp.local",,"HR","HR Manager","Corp","True","CN=Janice Smith,OU=HR,OU=Departments,DC=Corp,DC=local","CN=Kathy Arnold,OU=Executives,OU=Departments,DC=Corp,DC=local",
"Jennifer Sorensen","Jennifer","Sorensen","jennifer.sorensen","jennifer.sorensen@Corp.local",,"HR","HR Generalist","Corp","True","CN=Jennifer Sorensen,OU=HR,OU=Departments,DC=Corp,DC=local","CN=Janice Smith,OU=HR,OU=Departments,DC=Corp,DC=local",
"Jimmy Button","Jimmy","Button","jimmy.button","jimmy.button@Corp.local",,"Accounting","Account Payable Analyst","Corp","True","CN=Jimmy Button,OU=Accounting,OU=Departments,DC=Corp,DC=local","CN=Henry Woodward,OU=Accounting,OU=Departments,DC=Corp,DC=local",
"John Latouche","John","Latouche","johnlatouche","johnlatouche@Corp.local",,"Security","IAM Engineer","Corp","True","CN=John Latouche,OU=Security,OU=Departments,DC=Corp,DC=local","CN=Brown Steward,OU=Security,OU=Departments,DC=Corp,DC=local",
"John Williams","John","Williams","john.williams","john.williams@Corp.local",,"IT","Director of IT","Corp","True","CN=John Williams,OU=IT,OU=Departments,DC=Corp,DC=local","CN=William Trent,OU=Executives,OU=Departments,DC=Corp,DC=local",
"Joseph Johnson","Joseph","Johnson","joseph.jonson","joseph.jonson@Corp.local",,"Customer Relations","Customer Service","Corp","True","CN=Joseph Johnson,OU=Contractors,DC=Corp,DC=local","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local",
"Julie Lloyd","Julie","Lloyd","julie.lloyd","julie.lloyd@Corp.local",,"HR","HRIS Specialist","Corp","True","CN=Julie Lloyd,OU=HR,OU=Departments,DC=Corp,DC=local","CN=Janice Smith,OU=HR,OU=Departments,DC=Corp,DC=local",
"Kathy Arnold","Kathy","Arnold","kathy.arnold","kathy.arnold@Corp.local",,"Executives","Chief Human Resources Officer (CHRO)","Corp","True","CN=Kathy Arnold,OU=Executives,OU=Departments,DC=Corp,DC=local","CN=Ted Willams,OU=Executives,OU=Departments,DC=Corp,DC=local",
"Katie Clark","Katie","Clark","katie.clark","katie.clark@Corp.local",,"Accounting","Account Receivable Analyst","Corp","True","CN=Katie Clark,OU=Accounting,OU=Departments,DC=Corp,DC=local","CN=Henry Woodward,OU=Accounting,OU=Departments,DC=Corp,DC=local",
"Kevin Jones","Kevin","Jones","kevin.jones","kevin.jones@Corp.local",,"Engineering","Software Engineer","Corp","True","CN=Kevin Jones,OU=Engineering,OU=Departments,DC=Corp,DC=local","CN=Lee McCrae,OU=Engineering,OU=Departments,DC=Corp,DC=local",
"krbtgt",,,"krbtgt",,,,,,"False","CN=krbtgt,CN=Users,DC=Corp,DC=local",,"Key Distribution Center Service Account"
"Lee McCrae","Lee","McCrae","lee.mccrae","lee.mccrae@Corp.local",,"Engineering","Manager Of Engineering","Corp","True","CN=Lee McCrae,OU=Engineering,OU=Departments,DC=Corp,DC=local","CN=William Trent,OU=Executives,OU=Departments,DC=Corp,DC=local",
"Michael Smith","Michael","Smith","michael.smith","michael.smith@Corp.local","10","HR","HR Analyst",,"True","CN=Michael Smith,OU=HR,OU=Departments,DC=Corp,DC=local","CN=Sarah Johnson,OU=HR,OU=Departments,DC=Corp,DC=local",
"Oxana Wetherby","Oxana","Wetherby","oxana.wetherby","oxana.wetherby@Corp.local",,"Accounting","Account Receivable Analyst","Corp","True","CN=Oxana Wetherby,OU=Accounting,OU=Departments,DC=Corp,DC=local","CN=Henry Woodward,OU=Accounting,OU=Departments,DC=Corp,DC=local",
"Sarah Johnson","Sarah","Johnson","sarah.johnson","sarah.johnson@corp.local",,,,,"True","CN=Sarah Johnson,OU=HR,OU=Departments,DC=Corp,DC=local",,
"Security Admin","Security","Admin","admin.security","admin.security@Corp.local",,,,,"True","CN=Security Admin,OU=Privileged Accounts,DC=Corp,DC=local",,
"Shanon Tate","Shanon","Tate","shanon.tate","shanon.tate@Corp.local",,"Customer Relations","Customer Service","Corp","True","CN=Shanon Tate,OU=Contractors,DC=Corp,DC=local","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local",
"svc_backup","svc_backup",,"svc_backup","svc_backup@Corp.local",,,,,"True","CN=svc_backup,OU=Service Accounts,DC=Corp,DC=local",,
"svc_splunk","svc_splunk",,"svc_splunk","svc_splunk@Corp.local",,,,,"True","CN=svc_splunk,OU=Service Accounts,DC=Corp,DC=local",,
"svc_sql","svc_sql",,"svc_sql","svc_sql@Corp.local",,,,,"True","CN=svc_sql,OU=Service Accounts,DC=Corp,DC=local",,
"Ted Willams","Ted","Willams","ted.williams","ted.williams@Corp.local",,"Executives","Chief Executive Officer (CEO)","Corp","True","CN=Ted Willams,OU=Executives,OU=Departments,DC=Corp,DC=local",,
"Test user",,,"testuser",,,,,,"True","CN=Test user,CN=Users,DC=Corp,DC=local",,
"Trent Allen","Trent","Allen","trent.allen","trent.allen@Corp.local",,"Customer Relations","Customer Service Representative","Corp","True","CN=Trent Allen,OU=Customer Relations,OU=Departments,DC=Corp,DC=local","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local",
"Trevor Anderson","Trevor","Anderson","trevor.anderson","trevor.anderson@Corp.local",,"Customer Relations","Customer Service Representative","Corp","True","CN=Trevor Anderson,OU=Customer Relations,OU=Departments,DC=Corp,DC=local","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local",
"Trisha Hyatt","Trisha","Hyatt","trisha.hyatt","trisha.hyatt@Corp.local",,"Customer Relations","Manager Of Customer Relations","Corp","True","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local","CN=Kathy Arnold,OU=Executives,OU=Departments,DC=Corp,DC=local",
"William Trent","William","Trent","william.trent","william.trent@Corp.local",,"Executives","Chief Operating Officer (COO)","Corp","True","CN=William Trent,OU=Executives,OU=Departments,DC=Corp,DC=local","CN=Ted Willams,OU=Executives,OU=Departments,DC=Corp,DC=local",
